id,name,installed_capacity_MW,pumping_MW,type,country_code,lat,lon,dam_height_m,volume_Mm3,storage_capacity_MWh,avg_annual_generation_GWh,pypsa_id,GEO,WRI
H1461,Kuurna,18,,HROR,FI,60.291349,25.31687,,,,,,,
H1462,Lugasu,18,,HDAM,RO,47.059583,22.30375,29,65.4,,35,,,
H1463,Tileagd,18,,HDAM,RO,47.07875,22.207917,37,52.9,,35,,,
H1464,Altheim,17.8,,HROR,DE,51.536513,14.382898,,,,,1967,,
H1466,Dallenwil,17.75,,HROR,CH,46.91166368,8.393608875,,,,,2108,,
H1467,Turinge,18,,HDAM,SE,59.2,17.45,,,,,2885,,
H1473,Castel giubileo,17,,HROR,IT,41.89473846,12.48390198,,,,,3338,,
H1474,Castelletto,17,,HROR,IT,45.9694444,12.3588889,,,,,3343,,
H1475,Fenestrelle,17,,HROR,IT,45.03594,7.049409,,,,,3410,,
H1476,Kraftwerk Woella,17,,HROR,AT,46.875,13.138,,,,,,,
H1477,Kraftwerk Freibach,17,,HROR,AT,46.59,14.573,,,,,,,
H1478,Mellach und Kuehlwasserturbine-KW,17,,HROR,AT,46.910999,15.486,,,,,,,
H1479,Weinzoedl-KW,17,,HROR,AT,47.109001,15.392,,,,,,,
H1480,Keltti hydropower plant,17,,HROR,FI,60.875636,26.712925,,,,,,,
H1481,Tyrvään vesivoimalaitos,17,,HROR,FI,61.34537,22.905473,,,,,,,
H1482,Aarau stadt,16.93,,HROR,CH,47.39478173,8.035874583,,,,,3894,,
H1483,Kaufering,16.7,,HROR,DE,48.084026,10.864936,,,,,2273,,
H1484,Flasjön,17.38661001,,HDAM,SE,60.0833333,13.9833333,55,400,,64,2837,,
H1485,Dornau,16.6,,HROR,DE,47.8001993,10.9026434,,,,,2121,,
H1487,Dubnica Dubnica nad Vahom Hydroelectric Power Plant Slovakia - Dubnica nad Vahom Hydroelectric Power Plant Slovakia,16.5,,HROR,SK,48.96319,18.1451,,,,,1804,42662,
H1488,Klosters,16.5,,HDAM,CH,46.86101451,9.895574046,,,,,2295,,
H1489,Finlarig FINL-1,16.5,,HROR,UK,56.509998,-4.228,,,,71,,,
H149,Malgovert,297,,HDAM,FR,45.61787,6.79074,180,230,407100,,1653,39815,
H1490,Klosters Hydroelectric Power Plant Switzerland - Klosters Hydroelectric Power Plant Switzerland,16.5,,HROR,CH,46.861086,9.895629,,,,,,46296,
H1491,Fankel,16.4,,HROR,DE,50.123918,7.225915,,,,,2148,,
H1492,Müden,16.4,,HROR,DE,52.521937,10.360381,,,,,2400,,
H1493,Neef,16.4,,HROR,DE,50.087362,7.135809,,,,,2412,,
H1496,Lazer le Lazer (Le) Hydroelectric Power Station France - Lazer (Le) Hydroelectric Power Station France,16.28980892,,HDAM,FR,44.346,5.868,,,,,3115,39772,
H1497,Niederaichbach,16.2,,HROR,DE,48.6039132,12.3023425,,,,,2417,,
H1498,Trenčín Trencin Hydroelectric Power Plant Slovakia - Trencin Hydroelectric Power Plant Slovakia,16.1,,HROR,SK,48.90208,18.05579,,,,,1828,42653,
H1499,Zwingen obermatt,16.03,,HROR,CH,47.43649446,7.523992778,,,,,6508,,
